Handle,Title,Body (Description),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Price,SKU,Variant Inventory Qty,Variant Image,Image Src
tshirt-classic,Classic Cotton T-Shirt,A premium quality 100% cotton t-shirt perfect for everyday wear.,Apparel Co,Clothing,t-shirt,true,Size,M,19.99,TS-BLK-M,50,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=500,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=500
tshirt-classic,Classic Cotton T-Shirt,A premium quality 100% cotton t-shirt perfect for everyday wear.,Apparel Co,Clothing,t-shirt,true,Size,L,19.99,TS-BLK-L,35,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=500,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=500
leather-wallet,Minimalist Leather Wallet,Slim genuine leather wallet featuring 6 card slots and a cash pocket.,LeatherCraft,Accessories,wallet,true,Color,Brown,45.00,WL-BRN,12,https://images.unsplash.com/photo-1627123424574-724758594e93?w=500,https://images.unsplash.com/photo-1627123424574-724758594e93?w=500
running-shoes,Ergonomic Running Shoes,Lightweight and breathable shoes engineered for maximum comfort.,SportMax,Footwear,shoes,true,Size,9,89.99,SH-RUN-9,20,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500
running-shoes,Ergonomic Running Shoes,Lightweight and breathable shoes engineered for maximum comfort.,SportMax,Footwear,shoes,true,Size,10,89.99,SH-RUN-10,15,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500
anc-headphones,Wireless ANC Headphones,Immersive sound with active noise cancellation and 40-hour battery life.,AudioPro,Electronics,headphones,true,Color,Black,149.99,HP-ANC-BLK,25,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
smart-watch,Fitness Smartwatch,Track your workouts heart rate and sleep cycles seamlessly.,TechWear,Electronics,gadget,true,Color,Black,199.00,SW-FIT-BLK,40,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500
ceramic-mug,Handcrafted Ceramic Mug,Enjoy your morning coffee in this beautifully glazed artisanal mug.,HomeGlow,Kitchen,mug,true,Color,Blue,18.50,MG-CER-BLU,60,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=500,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=500
backpack-travel,Waterproof Travel Backpack,Durable 35L backpack with a dedicated laptop sleeve and anti-theft pockets.,PackCo,Accessories,bags,true,Color,Grey,65.00,BP-TRV-GRY,18,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500
sunglasses-retro,Retro Polarized Sunglasses,Classic design with 100% UV protection and durable acetate frames.,Optix,Accessories,eyewear,true,Color,Black,29.99,SG-RET-BLK,100,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=500,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=500
scented-candle,Soy Wax Scented Candle,Infused with lavender and eucalyptus essential oils for ultimate relaxation.,ZenHome,Decor,candle,true,Scent,Lavender,22.00,CN-SOY-LAV,45,https://images.unsplash.com/photo-1603006905003-be475563bc59?w=500,https://images.unsplash.com/photo-1603006905003-be475563bc59?w=500
hoodie-fleece,Oversized Fleece Hoodie,Ultra-soft fleece lining with a relaxed fit for maximum coziness.,Apparel Co,Clothing,hoodie,true,Size,S,49.99,HD-FLC-S,30,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=500,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=500
hoodie-fleece,Oversized Fleece Hoodie,Ultra-soft fleece lining with a relaxed fit for maximum coziness.,Apparel Co,Clothing,hoodie,true,Size,M,49.99,HD-FLC-M,45,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=500,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=500
hoodie-fleece,Oversized Fleece Hoodie,Ultra-soft fleece lining with a relaxed fit for maximum coziness.,Apparel Co,Clothing,hoodie,true,Size,L,49.99,HD-FLC-L,20,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=500,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=500
water-bottle,Insulated Water Bottle,Double-wall vacuum insulation keeps drinks cold for 24 hours.,HydroPeak,Kitchen,bottle,true,Color,Black,24.99,WB-INS-BLK,80,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500
yoga-mat,Eco-Friendly Yoga Mat,Non-slip extra thick cushioned mat perfect for yoga and pilates.,FlexFit,Fitness,gear,true,Color,Green,39.99,YM-ECO-GRN,50,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=500,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=500
desk-mat,Felt Desk Organizer Mat,Protect your workspace while improving your mouse tracking efficiency.,OfficeNeat,Office,decor,true,Color,Dark Grey,34.50,DM-FLT-GRY,22,https://images.unsplash.com/photo-1616440347437-b1c73416efc2?w=500,https://images.unsplash.com/photo-1616440347437-b1c73416efc2?w=500
coffee-beans,Organic Espresso Beans,Dark roast whole bean coffee sourced sustainably from South America.,RoastMasters,Grocery,coffee,true,Size,1lb,16.99,CB-ORG-1LB,110,https://images.unsplash.com/photo-1447933601403-0c6688de566e?w=500,https://images.unsplash.com/photo-1447933601403-0c6688de566e?w=500
phone-case,Clear Magnetic Phone Case,Shockproof transparent case compatible with magnetic wireless charging.,TechWear,Electronics,accessory,true,Model,iPhone 15,19.99,PC-MAG-I15,75,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500
notebook-journal,Hardcover Leather Journal,Thick 120gsm lined paper ideal for sketching note-taking and diary entry.,StationeryCo,Office,journal,true,Color,Tan,14.99,NB-HD-TAN,90,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=500,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=500
